ProblemID,TAG
1991D,constructive algorithms
1991D,graphs
1991D,greedy
1991D,math
1991D,number theory 
1991C,constructive algorithms
1991C,greedy
1991C,math 
1991B,bitmasks
1991B,constructive algorithms
1991B,greedy 
1991A,greedy
1991A,implementation 
1990F,brute force
1990F,data structures
1990F,divide and conquer
1990F,dp
1990F,greedy
1990F,two pointers 
1.99E+05,binary search
1.99E+05,data structures
1.99E+05,dfs and similar
1.99E+05,divide and conquer
1.99E+05,interactive
1.99E+05,trees 
1.99E+04,binary search
1.99E+04,data structures
1.99E+04,dfs and similar
1.99E+04,interactive
1.99E+04,trees 
1990D,bitmasks
1990D,brute force
1990D,dp
1990D,greedy
1990D,implementation 
1990C,brute force
1990C,greedy
1990C,math 
1990B,constructive algorithms
1990B,greedy 
1990A,brute force
1990A,games
1990A,greedy
1990A,sortings 
1989F,dfs and similar
1989F,divide and conquer
1989F,graphs 
1989E,combinatorics
1989E,dp
1989E,math 
1989D,brute force
1989D,data structures
1989D,dp
1989D,greedy
1989D,math
1989D,sortings
1989D,two pointers 
1989C,greedy
1989C,math 
1989B,brute force
1989B,greedy
1989B,strings 
1989A,implementation 
1988F,combinatorics
1988F,dp
1988F,fft
1988F,math 
1988E,binary search
1988E,brute force
1988E,data structures
1988E,divide and conquer
1988E,implementation 
1988D,brute force
1988D,dfs and similar
1988D,dp
1988D,trees 
1988C,bitmasks
1988C,constructive algorithms
1988C,greedy 
1988B,greedy
1988B,implementation 
1988A,brute force
1988A,greedy
1988A,implementation
1988A,math 
1987H,interactive 
1987G2,divide and conquer
1987G2,dp
1987G2,trees 
1987G1,divide and conquer
1987G1,dp
1987G1,trees 
1987F2,dp 
1987F1,dp 
1987E,brute force
1987E,data structures
1987E,dfs and similar
1987E,dsu
1987E,greedy
1987E,trees 
1987D,dp
1987D,games 
1987C,dp
1987C,greedy 
1987B,greedy 
1987A,greedy
1987A,math 
1986G2,brute force
1986G2,data structures
1986G2,hashing
1986G2,math
1986G2,number theory 
1986G1,binary search
1986G1,brute force
1986G1,combinatorics
1986G1,data structures
1986G1,math
1986G1,number theory 
1986F,dfs and similar
1986F,graphs
1986F,trees 
1986E,greedy
1986E,math
1986E,number theory
1986E,sortings 
1986D,brute force
1986D,dp
1986D,greedy
1986D,implementation
1986D,math
1986D,two pointers 
1986C,data structures
1986C,greedy
1986C,sortings 
1986B,brute force
1986B,data structures
1986B,greedy
1986B,sortings 
1986A,brute force
1986A,geometry
1986A,math
1986A,sortings 
1985H2,data structures
1985H2,dfs and similar
1985H2,dp
1985H2,dsu
1985H2,implementation 
1985H1,brute force
1985H1,data structures
1985H1,dfs and similar
1985H1,dsu
1985H1,graphs
1985H1,implementation 
1985G,combinatorics
1985G,math
1985G,number theory 
1985F,binary search
1985F,data structures 
1985E,brute force
1985E,combinatorics
1985E,math 
1985D,implementation
1985D,math 
1985C,greedy 
1985B,brute force
1985B,math
1985B,number theory 
1985A,implementation
1985A,strings 
1984H,combinatorics
1984H,dp
1984H,geometry 
1984G,constructive algorithms
1984G,implementation
1984G,sortings 
1984F,brute force
1984F,dp
1984F,math 
1984E,dp
1984E,greedy
1984E,trees 
1984D,brute force
1984D,hashing
1984D,implementation
1984D,math
1984D,string suffix structures
1984D,strings 
1984C2,combinatorics
1984C2,dp
1984C2,greedy
1984C2,math 
1984C1,dp
1984C1,greedy
1984C1,math 
1984B,implementation
1984B,math 
1984A,constructive algorithms 
1983G,bitmasks
1983G,brute force
1983G,dp
1983G,trees 
1983F,binary search
1983F,bitmasks
1983F,data structures
1983F,greedy
1983F,two pointers 
1983E,combinatorics
1983E,math
1983E,probabilities 
1983D,constructive algorithms
1983D,data structures
1983D,divide and conquer
1983D,greedy
1983D,math
